Date,Temperature,Humidity,Rain,Season
2024-01-05,10,85,2.3,Winter
2024-01-15,9,80,1.2,Winter
2024-01-25,11,78,0.8,Winter
2024-02-05,13,75,0.5,Winter
2024-02-15,12,70,0.9,Winter
2024-02-25,14,68,0.4,Winter
2024-03-05,17,65,0.2,Spring
2024-03-15,19,60,0.0,Spring
2024-03-25,20,58,0.0,Spring
2024-04-05,22,55,0.0,Spring
2024-04-15,23,50,0.0,Spring
2024-04-25,25,48,0.0,Spring
2024-05-05,27,45,0.0,Spring
2024-05-15,28,43,0.0,Spring
2024-05-25,29,40,0.0,Spring
2024-06-05,30,38,0.0,Summer
2024-06-15,31,35,0.0,Summer
2024-06-25,33,33,0.0,Summer
2024-07-05,35,30,0.0,Summer
2024-07-15,36,28,0.0,Summer
2024-07-25,34,29,0.0,Summer
2024-08-05,33,32,0.0,Summer
2024-08-15,32,34,0.0,Summer
2024-08-25,31,36,0.0,Summer
2024-09-05,28,40,0.0,Fall
2024-09-15,26,45,0.0,Fall
2024-09-25,24,50,0.1,Fall
2024-10-05,21,55,0.3,Fall
2024-10-15,19,60,0.5,Fall
2024-10-25,17,65,0.7,Fall
2024-11-05,15,70,1.0,Fall
2024-11-15,13,75,1.5,Fall
2024-11-25,12,78,1.8,Fall
2024-12-05,11,80,2.0,Winter
2024-12-15,10,83,2.5,Winter
2024-12-25,9,85,3.0,Winter
